;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
nsei 蒘 饢
nseu 巎 餪
nsi 尿
nsia 鼰 碙 嶩 硸
nso 巙
nsou 巕
nsu 尼
nsui 硇 嵲 嶭
nsuo 馁 氼 餒
nt 男
nta 坭
ntaa 堖
nti 畘
nto 垴
ntoo 埿
ntu 埝
ntui 堄
nu 年
nua 馁
nue 钮
nui 恁
nv 脑
nva 聂
nvaa 腦
nvae 脲 胒
nve 腻
nvee 膩
nvei 腩 雫 聶
nveo 臑
nveu 隬 腝
nvi 鲇
nvia 陧 肭 魶 朒 膿
nvie 鮎
nvo 脓
nvoo 聍 聻 脳 聹
nvu 霓
nvue 腇 鯘 脌
nvui 鲵 腉 郳 鯓 鯢 隉
nvuo 鲶 鮾 鯰
nw 弄
nwa 瑙
nwe 夒
nwei 褭
nwu 敜
nwua 袲
nx 念
nxa 怒
nxai 衄
nxau 尕 衂
nxe 恧
nxei 戁
nxi 帇
nxie 惄
nxu 您
nxui 恁
ny 难
nya 詉
nye 诺
nyei 颞 諵 譊 顳 諾
nyeo 羺 譳
nyi 讷
nyia 醲 譨 訥
nyie 谑 謔
nyo 酿
nyoe 醸 釀
nyu 袅
nyua 譺
nyui 誽 裊
nyuo 訤
nz 女
nza 乜
nzae 孻 跜 蹍
nzai 孼 郍 孨
nzau 孥
nze 蹑
nzei 臬 踂 踙 臲 難 躡
nzeu 躎
nzi 乪
nzia 豽
nzu 乃
nzua 蹨
nzui 鼐 貎
nzuo 跈 艌 踗
p 平
pa 皮
paa 缥
pau 媲
pb 普
pba 疲
pbae 癖
pbai 皅
pbau 髲 兺
pbe 叛
pbee 琵 艵
pbei 匍 痡
pbeo 匉
pbeu 痞 髬
pbi 贌
pbo 赔
pboe 皫 賠
pbou 皏 賆
pbu 贫
pbua 疱 髱 痭 髼 鬅 鬔
pbue 毞 敀
pbui 魄
pbuo 皤 貧
pc 萍
pca 蚆
pce 苹
pcea 芘 蚍
pcei 莆 蟛 螵 蔈 荖 蓜 蟚 徱 尀 蒪 蒱
pceo 軯 蚲
pceu 苤 厖 厐 蚽 苉
pci 徘
pcia 藣
pcie 輫 蘋
pcii 轐
pco 蒲
pcoa 萹
pcoe 彷 菩 螃 徬 蒡 藨 龎 螷
pcoo 蒎 蠙 萢 薸 薲 蓱 蔢
pcou 荓 蛢 軿
pcu 蓬
pcua 葡 龅 蠭 蚫 軳 芃 莑 輣 齙
pcue 輧
pcui 葩 蜱 螕
pcuo 蟠 莩 葐
pcuu 蒰
pd 派
pda 劈
pdaa 冯
pdae 澼
pdai 夿
pdao 溌 潑
pdau 泼 波
pde 漂
pdea 沘
pdee 匏 潖 淎
pdei 浦 沛 澎 溥 馮
pdeo 泙
pdeu 奤
pdi 瀑
pdia 淠 溿 浿 漰 涄 哛
pdie 淲 濒 瀕
pdo 滂
pdoe 汸
pdou 泮 冸 潎 洴 潽
pdu 潘
pdua 泡 癹 奟 泺 奅 淜
pdue 湃
pdui 濮 泊 濞 沜 浌 渒 濼
pduo 殍 湓 汃
pduu 瀊
pe 破
pee 琵
pei 菩
peo 霈
peu 砰
pf 排
pfa 披
pfae 擗
pfao 拚
pfe 批
pfee 捧
pfei 飘 摽 揊 飃 飄
pfeo 抨
pfeu 抷 抔 抪 拋
pfi 扑
pfii 擈 撲
pfo 拼
pfoe 掊 攈 搒
pfou 撇 掽 缾
pfu 拍
pfua 抛
pfue 旆 斾 旇 旚 抙
pfuo 扒 捊
pfuu 扳
pg 庞
pge 瓢
pgei 魒
pgeu 庬
pgo 骿
pgoe 髈 龐
pgu 庖
pgua 庀 瓟 鞄 弸 巬
pgui 蠯
pguo 宷
pguu 鞶
ph 炮
pha 比
phau 秛
phe 秠
phee 炐
phei 烞 烳
pheo 秤
pheu 炋
phi 扁
phia 炾 喸 馪
phii 穙
phiu 朩
pho 穦
phoe 房
phu 丕
phua 稝 熢 焩
phue 炇
phui 靤 焷
phuu 炍
pi 品
pia 圃
piae 嘭
pie 裴
pj 凭
pja 帔
pjae 幈
pjai 钯 帊 鈀
pjao 鏺
pjau 铍 鈹
pje 铺
pjea 纰 鈚 紕
pjee 銢
pjei 缥 钷 鋬 鑻 纄 鑝 縹 鉕 鋪
pjeu 鉟 銔
pji 钋
pjii 镤 幞 鏷
pjio 釙
pjo 锫
pjoe 覫 凴 錇
pjoo 鎃
pjou 镨 絣 鐅 帡 覮 鐠
pju 帕
pjua 錋
pjue 帲
pjui 鎞 缏 錍 纀 緶
pjuo 鍂
pjuu 幋 鎜 釽
pk 匹
pka 辔
pkaa 轡
pkae 噼
pke 喷
pkea 吡
pkei 啪 圃 嘭 嘌 呠 哱 哣 噴
pkeo 呯
pkeu 呸 否 吥 喯 囨
pki 噗
pkia 叵
pkie 嚬
pko 嗙
pkoo 嘙
pku 啤
pkua 咆
pkui 嚊
pkuu 哌
pl 判
pla 耙
plae 竮
plau 怶 耚
ple 怦
plea 悂
plei 剽 憉 勡 慓
pleu 怌
plo 剖
ploa 遍
ploe 耪 勏
ploo 麃
plou 恲
plu 迫
plua 刨 逄 炰 麅
plui 廹
pluo 尨
pm 骗
pma 杷
pmae 闢
pmau 櫇 駊
pme 瞟
pmea 枇
pmei 骠 桲 馷 樥 驃
pmeo 枰 閛 駍
pmeu 柸 駓
pmi 朴
pmia 榀 睤 闝
pmie 棑
pmii 瞨 檏 樸
pmo 瞥
pmoa 椖 楄 騗 騙
pmoe 榜 棓 栤 毰 梈
pmoo 驞 矉
pmou 骈 氆 柈 椪 駢
pmu 盼
pmua 棚 麭 槰 闏
pmue 騈 駇
pmui 睥 粕 椑 楩
pmuo 盆
pmuu 眅 槃 盤
pn 婆
pna 鸊
pnae 鷿
pnai 妑
pnao 鴘
pnau 被
pne 嫖
pnei 襻 鷅
pneu 妚 鴄
pni 娉
pnia 犤
pnii 襆
pno 嫔
pnoa 犏 媥 鶣
pnoe 嫎 犥 婄
pnoo 嬪
pnou 姘 袢 鵥 鵧 嫳
pnu 鹏
pnua 袍 牝 姵 嫓 鵬
pnui 媲 裨 襥 袙 娦
pnuo 衯
pnuu 媻
po 怕
poa 袍
poe 烹
poo 沛
pooe 泊
pp 牌
ppa 箳
ppae 簈
ppe 颇
ppea 笓
ppei 彭 笸 筢 篺 彯 篻
ppeu 頗
ppi 乒
ppia 覑
ppie 乓
ppo 篇
ppoe 篣
ppoo 箥
ppou 牉
ppu 篷
ppua 竼 簲 皰
ppui 箄 簰
pq 曝
pqa 狓
pqai 昢
pqe 歕
pqee 甹
pqei 暴
pqeu 狉
pqi 猅
pqo 暼
pqu 狍
pqui 猈 狛
pquu 氕
pr 偏
pra 僻
pre 便
prea 仳
pree 舖
prei 伂 朇 僄 舗
preu 俖 伓 伾
pri 仆
pria 俜 傰
prie 俳
prii 僕
pro 傍
pru 佩
prua 倗
prui 俾
ps 碰
psa 礔
psae 礕
psau 岥
pse 屁
psea 砒
psee 沗
psei 攀 礟 礮 岼
pseo 砰
pseu 嶏 岯 貵
psi 颦
psia 矲 磞 汖
psie 顰
pso 屏
psoe 磅 碚
psoi 砯
psoo 礗
psou 硑 撆
psu 磐
psua 硼 砲
psue 掱 屛
psui 磇 崥 岶 砶
psuo 砏 磻
psuu 搫
pt 培
pta 坡
ptae 圮 壀 塀
pte 坪
ptea 毗 毘
ptei 埔 疈
pteu 坯 坏
pti 鼙
ptia 噽 嚭
ptii 墣
ptio 圤
pto 畔
ptoa 塜
ptou 坢
ptu 番
ptua 堋 埄 塳
ptui 堡 埤
ptuo 垺
pu 片
pua 胖
pui 魄
puo 盆
puu 彷
pv 朋
pva 霹
pvae 隦
pvau 陂 翍 鲏 鮍
pve 膨
pvea 阰 肶 魮
pvee 肨
pvei 脯 肺 翉 翸 翲 陠 鯆
pveo 鲆 胓 鮃
pveu 胚 邳 頨 翇 肧 阫 魾 脴
pvi 聘
pvia 腗
pvie 陫
pvo 陪
pvoa 翩
pvoe 膀 雱 鳑 鰟
pvoo 霈 霶
pvou 胖 胼 郱 聠
pvu 脾
pvua 胮 膖
pvue 腁
pvui 郫 陴 膍 魸
pvuo 鄱 脬
pw 旁
pwa 甓
pwe 琶
pwea 玭
pweo 玶
pwi 璞
pwia 烹 亨
pwie 琲 裵
pwo 瓶
pwoe 琣 瓿 敨
pwu 珀
pwua 珮
pwue 甁
pwui 裒 琕
pwuo 瓫
px 票
pxa 辟
pxae 憵
pxe 衃
pxo 慿
pxoe 憑
pxu 繁
pxue 緐
pxuu 縏
py 配
pya 譬
pyao 醱
pyau 酦
pye 评
pyei 誧 醭 醥 顠 酺
pyeo 評
pyi 频
pyia 謈 颒 頮
pyie 裴 頻
pyo 谱
pyoa 谝 諞
pyoe 醅
pyoo 諚
pyou 詊 頖 頩 菐 諩 譜
pyu 韸
pyua 頄 褜 韼
pyui 諀
pz 跑
pza 爬
pzai 跁 舥
pzao 罷 羆
pze 蹒
pzea 豼
pzei 罴 罢 乶 蹣
pzeu 豾
pzi 盘
pzie 爿 巼
pzii 蹼
pzo 蹁
pzou 跰 跘 踫
pzu 趴
pzua 般 舽 爮
pzui 貔
q 去
qa 强
qaa 驱
qae 屈
qao 劝
qau 嫱
qb 泉
qba 瘸
qbaa 癿
qbe 酋
qbee 卷 皘
qbei 卡 赇 鬐 瘽 蠤 賕
qbi 癯
qbia 盀 鬜 鬝 髷 灥
qbo 鬈
qbu 痊
qbua 鼽 疧
qbui 癄
qbuo 匁
qc 轻
qca 虬
qcae 荨 芑 虇 芎 蕁
qcai 蘠 荍 虯
qcao 軽
qcau 茄
qce 蔷
qcea 萋 苣 荎 苆 葝 衐 螶 輕
qcee 螓 蜻 葜 茾 蚈 輤 蛪
qcei 茜 蛩 萁 蜞 鼜 輁 蛣 厪 蚑 螧 藄 蟿 蜸 藮 螼 菣 蛬 蓲 蟗 莍 蛷 蠸 薔
qceu 徛
qci 衢
qcia 蛆 蛐 葺 苘 蠼 齵 忂 蠷 苬 蘄
qcie 蘧
qco 蜷
qcoa 茕
qcoe 蛴 荠 萕 藽 蠐 薺
qcoo 蕖 蔳 菬 藭 菃 蟝
qcou 蕲 蜣 蝤 葥 齤
qcu 芹
qcua 芪 芡 艽 蚔 軝 藑 葋 軥
qcue 芊 荞 芞 藒 萩 蝵 蘒 蒛 蕎
qcui 蚯 龋 蕉 蒨 蝺 葲 螑 齲
qcuo 荃 芩 辁 厱 軡 菳 蚙 蠄 輇
qcuu 蚚 菦
qd 清
qda 汓
qdae 淈 漒
qdao 厺
qde 奇
qdea 切 凄 沏 洰 殌 灊 淒 淺 潛
qdee 潜 浅 契 溱 汫 汧 淸 凊 濪
qdei 漆 淇 漧 攲 渿 濝 圶 澿 殑 浗 殏
qdeu 渏 殎 汱
qdi 泅
qdia 龟 湨 浀 灈
qdo 牵
qdoa 沁 淭
qdoe 泣 湆 湇 淁 瀙 澵
qdou 券 溬 湭
qdu 汽
qdua 凂
qdue 湫 汔 汘 濳 滊
qdui 湶
qduo 洽 洤 溪
qe 起
qea 切
qee 契
qei 鹊
qeie 磬
qeii 颧
qeiu 栖
qeu 戚
qf 抢
qfa 缺
qfae 撖 揵
qfai 扡
qfe 罄
qfea 捿
qfee 掅
qfei 掑 罊 拪 拑 擏 抾
qfeu 摤
qfi 拤
qfo 掮
qfoa 抋 搉
qfoe 撁
qfoo 攐 攓
qfou 搼
qfu 旗
qfua 掐 缼 摖 扏
qfue 撬 揿 扦 旂
qfui 攑 撽 搝
qfuo 擒 扲 捦 搇 搶 撳
qg 巧
qga 邛
qgaa 魕
qgae 宭
qgai 卭 寢 慶
qgao 巯 強
qge 庆
qgea 庼 廎
qgee 靬 寈
qgei 彊 廑 魌 韆 庨
qgeu 戚 戌 廧
qgi 鞘
qgia 戵
qgie 鞐
qgio 鞩
qgo 寝
qgoe 骹
qgoo 髂
qgou 弮 鞧
qgu 戗
qgue 鞒 鞦 鞽
qgui 寑
qguo 庈 靲 廞 戧
qguu 鬿
qh 其
qha 七
qhaa 巰
qhae 炔
qhao 黢 焌
qhau 鬵
qhe 青
qhee 秦 稧
qhei 稘 黚 烓 燂
qheu 稽 煘 豦
qhi 求
qhia 启
qhie 丠
qho 秋
qhoe 虔 黥
qhoo 焪 熍
qhou 夹 煪 檾
qhu 犬
qhua 穐
qhue 燆 秌
qhui 燋 穕 龝 燩
qhuo 黔 炝 烇 熗
qi 且
qia 嵌
qiae 蹊
qiai 岐
qie 歧
qj 钱
qja 镪
qjae 锓 繦 綅 鐉 帬 鏹 繈 鋟
qjai 邔 觓 鏘
qjao 鏒
qje 绮
qjea 緀 緁 錢
qjee 锲 锖 銭 綪 錆 鍥
qjei 钳 銎 錤 帺 釮 綨 斳 鑋 棾 絿 觩 銶 紶 繊 鉗
qjeu 颀 鏚 锜 顉 紌 縓 頎 錡 綺
qji 觑
qjia 缱 缉 綥 鑓 幧 缲 鐰 鑺 緝 繾 繰
qjie 鈙 覰 覻 覷
qjio 帩
qjiu 釥
qjo 锵
qjoa 鈂 鈊
qjoe 鑇 緕 纃 鏲 縴 親
qjou 绻 鎆 焭 緧 觠 巻 綣
qju 纤
qjua 钦 铅 釚 釻 斪 絇 鉛 欽
qjue 锹 钎 鍫 繑 鐈 釺 鍬
qjui 鵭
qjuo 铨 钤 帢 鈆 鐱 鎗 絟 鈐 銓
qk 区
qka 唚
qke 嘁
qkee 嗪 圊
qkei 咁 咠 唭 唒 呿
qkeu 唘 匧
qki 器
qkia 呮 噐 匷 區
qko 圈
qkoa 吣 啓 啔
qkoe 呟 唼
qkou 嗛 嗴 唴 圏
qku 囚
qkua 叴
qkue 谸 嘺 囷
qkuo 呛 噙 只 嗆
ql 情
qla 妾
qlae 迉
qlao 逡 悛
qle 亲
qlea 悽 炁
qlee 惬 麉 愜
qlei 勤 怯 麒 逑 恓 愭 懄 逎 迲 慳 遷 勸
qleu 慽 悏
qli 悄
qlia 遣 麕 竒 愒 悓 刞 耝
qlie 懅 憈
qlii 悭
qlo 遒
qloe 懠 麡 剠 勍
qloo 愘
qlou 慊 劵 惓
qlu 恰
qlua 劬 恪 忯 惸
qlue 迁 迄 愀 忏 麇 竏 刋 勧 忔
qlui 憔 劁 恘 竬
qluo 忴 恮
qm 权
qma 杞
qmae 騝 骎 梫 駸
qmao 阕 闋
qme 骑
qmea 椠 橬 棲
qmee 栔 棈 琹
qmei 棋 栖 骐 樯 檠 粸 櫀 櫏 桏 梂 毬 盚 麮 鼁 枝 騏 槧 檣 驅 權
qmeu 驱 槭 檶 槗 駆 騎
qmi 阒
qmia 桤 氍 粬 麯 欋 閴 橾 梩 榿 闃
qmie 榩
qmio 睄
qmo 渠
qmoa 榷 棨 闙
qmoe 樈 櫦
qmoo 骞 柒 椌 騫
qmou 阙 桊 騚 槏 橩 椦 棬 闕
qmu 瞧
qmua 麴 朹 麹
qmue 桥 橇 楸 檱 盵 杄 粁 権 橋
qmui 樵 糗 駈 騡 楾 闎
qmuo 枪 檎 桼 駩 槍
qn 妻
qna 裙
qnae 襁 犍 鶌
qnai 祁
qne 娶
qnea 褄 鶈
qnee 嫀
qnei 歧 祺 鹊 嫱 祛 姏 娸 褀 禥 鶀 婜 袪 孉 蒆 嬙 鵲
qneu 鵸 婍
qni 嬛
qnia 鸜
qno 牶
qnoe 媇
qnoo 鸂
qnou 媊 婘 犈
qnu 祈
qnua 鸲 袳 祇 鹐 衹 鵮 鴝
qnue 鷮 奷 犞 媝 鹙 鶖
qnui 嫶
qnuo 鸧 袷 鳹 姾 牷 祫 鶬
qnuu 歬
qo 前
qoa 祺
qoe 凄
qoeu 麒
qoi 阙
qoo 浅
qooe 淇
qooi 怯
qou 糗
qp 气
qpa 欠
qpe 乔
qpea 乞
qpee 箧 箐 篋
qpei 箝 筇 簯 籖 篏 籡 笻 皳 皵
qpeu 喬
qpi 丘
qpia 笡 筁 龜
qpie 籧
qpo 箞
qpoe 簱 籏
qpu 签
qpue 簥 篍
qpui 篟
qpuo 筌 籤 篬 簽
qq 期
qqa 氢
qqaa 綦
qqai 郬
qqe 晴
qqea 氫
qqee 氰
qqei 耆 猉 棊 玂 敺 曋
qqeu 敧 碁 欹
qqi 曲
qqia 朞 蜝 暒
qqii 剘
qqo 敲
qqoa 晵
qqou 歉 猐 獇 氣
qqu 欺
qqua 犰 靘
qque 狅 欫 暣 甠
qquo 気 欦 昑
qr 企
qra 侵
qrao 俟
qrau 伽
qre 倾
qrea 佢 傾
qree 倩 仠 珡 偰
qrei 俅 倛 僛 佉 僉
qreo 佥
qreu 傸
qri 俏
qria 伣 俔 儙 僺 伹
qro 禽
qroe 倿
qrou 傔 儝
qru 侨
qrua 仇
qrue 仟 偢 僑
qruo 仱 佺 僋
qs 千
qsa 岂
qsae 屺 嵹 峮
qsai 屈 嶈
qse 躯
qsea 砌 硗
qsee 挈 岍 碛 碶 洯 碃 磧
qsei 擎 嵌 岐 磬 矼 殻 硈 掔 漀 殸 巏 碏 豈 磽 殼 嶇 軀
qseo 礭
qseu 崎 岖 磢 嵅 碕 磩
qsi 乾
qsia 亁 砠 呇 兛 硘 岨
qsio 峭
qso 拳
qsoa 確
qsoe 嵜 嵪 碻 毃
qsoo 搴 磲 磍
qsou 磏 嵰 崷 鼸 煢
qsu 确
qsua 磜 鼩 崅 厹
qsue 湬 峤 硚 嵚 硞 嶠 礄
qsui 礉 岴 礐
qsuo 磎 岒 峑 硂 夋 嵠 嶔
qsuu 岓
qt 墙
qta 墏
qtao 朅
qte 堑
qtee 埥
qtei 畦 墘 墻 墝 塹
qteu 畎 埼
qti 埁
qtia 埍
qto 壳
qtoe 塙
qtoo 壍
qtou 埢
qtu 圻
qtua 埆
qtue 圱 圲 墧
qtui 墽 坵 甽
qtuo 坅
qu 全
qua 脐
que 迄
quee 铅
qui 倩
quo 衾
quu 颀
qv 却
qva 取
qvae 鮼
qvao 亝
qve 翘
qvea 郪 霋
qvee 鲭 鯖
qvei 鳍 鄿 鲯 鯄 鰽 阹 胠 魼 鰸 朑 脙 鯕 鰭 翹
qveu 脥
qvi 隑
qvia 郻 鮂 臞 魻
qvie 鰬 靑 鱋
qvii 干
qvio 陗
qvo 腔
qvoe 脐 鯜 臍
qvoo 聺
qvou 鰌 鱃 腃 膁
qvu 卿
qvua 朐 肷 鯦 邭 翗 魥 肍 胊 翑 鮨
qvue 鳅 阡 鱎 鰍
qvui 邱 亓 鄡 翵 鳈 鰁
qvuo 郄 肣 耹 卻
qvuu 肵
qw 齐
qwa 弃
qwaa 玌 牽
qwae 玘
qwao 璚 璆 棄
qwe 球
qwee 琴
qwei 琪 斊
qweu 琦
qwi 璩
qwia 髜 髚 瓗 琄
qwio 韒
qwo 琼
qwoa 啟
qwoo 璖
qwou 琷 齊
qwu 瓩
qwua 瓊
qwue 敿 琁
qwui 斉 甈 瑔
qwuo 玱 瑲
qx 穷
qxa 穹
qxe 窃
qxei 窍 悫 懃 慤 悊 愨
qxeu 慼
qxi 覃
qxia 吢
qxo 綮
qxou 絭
qxu 雀
qxua 夡
qxue 憩 憇 夝
qxui 竆 竅 窮
qxuo 憌 竊
qxuu 愆
qy 请
qya 群
qyaa 羌
qyae 誛 羣 裠
qyai 诎 詘
qyao 羟
qyau 劝
qye 顷
qyea 羥 頃
qyee 請
qyei 裘 颧 醛 謦 諆 酠 臤 詓 顴
qyeu 顣 羬
qyi 谴
qyia 諿 讉 譴
qyio 诮 誚
qyo 谦
qyoa 顅
qyoe 羻 頝
qyoo 褰
qyou 謙
qyu 讫
qyua 頄 訄 訅
qyue 諬 醔 訖
qyui 谯 諐 顦 譙
qyuo 诠 衾 謒 譣 顩 詮
qz 趣
qza 镼
qzaa 谿
qzai 蹡
qzao 踆
qze 跷
qzea 戕
qzei 跫 跂 踑 跒 艢 踍 趬 睘 瞏 趞 牆 蹺
qzi 瞿
qzia 趄 躣
qzie 爿
qzii 亟
qzio 踃
qzo 矜
qzoa 矝
qzoe 艩 踥
qzou 趥 踡
qzu 趋
qzua 将 趍 赹 將 趨
qzue 蹻 趫
qzui 躈
qzuo 跄 蹊 牄 雂 跧 蹌
qzuu 斨 赾
r 人
ra 如
rb 髯
rbe 髶
rbi 髥
rbo 壡
rboe 鬤
rbu 赁
rbui 賃
rc 软
rca 茹
rcae 蒻
rcao 葇 蝚 輮
rcau 轫 荵 蕠 軔
rce 融
rcea 荛 蛲
rcee 茙
rcei 辱 茸 蝾 葚 螎 蜹 爇 蟯 蕘
rceo 蠕 薷
rceu 蕤 蓐 蝡 輭
rci 芮
rcia 苒 蚋 蚺 蚦
rcie 蕋 蛅
rco 蓉
rcoa 蕊
rcoe 蠰 蘘
rcoo 蒅
rcou 蠑
rcu 荏
rcua 軟
rcue 軠 苼
rcui 芢 芿 軵
rd 刃
rda 汝
rdao 渘
rdau 洳
rde 濡
rdei 瀜 渃
rdeu 溽 耎
rdi 汭
rdia 潤
rdo 润
rdoe 瀼
rdoo 溶 刄
rdu 渪
re 若
rei 茸
reu 辱
rf 扰
rfa 扔
rfao 揉
rfau 扨
rfe 擩
rfeu 擾
rfi 撋
rfo 攘
rfoo 搈 摉
rfu 捼
rfuo 扖 挼
rg 弱
rga 鞣
rgau 靭 靱
rge 戎
rgo 瓤
rgoe 宍
rgu 冗
rgua 宂
rh 燃
rha 煣
rhe 燸
rhei 穁 焫
rho 熔
rhoe 穰 穣 爙
rhoo 穃
rhou 爃
rhu 稔
rhua 烿
rhui 秹
rhuo 秂
ri 日
ria 蠕
rj 绕
rja 纫
rjao 鍒
rjau 铷 綛 釰 帤 紉 銣
rje 绒
rjee 絨
rjei 縙 繞
rjeo 鑐
rjeu 缛 緛 縟
rji 鈤
rjo 锐
rjoa 鍕
rjoe 纕
rjoo 镕 鎔
rjou 鑅 鋭
rju 鈓
rjua 繎
rjue 纴 緌 紝
rjui 銋 絍
rjuo 銳
rk 肉
rka 禸
rke 嚅
rkee 冄
rkei 喏 囕 囸
rkeu 嗕
rki 冉
rkia 呥
rko 嚷
rkoe 啍
rku 嘫
rl 热
rla 辸
rle 愞
rlei 遶 熱
rlo 懹
rloe 勷
rlu 込
rm 柔
rma 糅
rmai 粈
rmao 氄 騥 楺
rmau 梕
rme 荣
rmea 桡
rmee 闰 毧 駥 閠 閏
rmei 榵 蘂 蘃 楉 橈
rmi 睿
rmia 枘 驲 橍 瞤 馹
rmo 染
rmoa 橤
rmoo 榕 栄
rmou 榮
rmu 栣
rmua 橪
rmui 栠
rmuo 朲 棯 杁 桵
rn 褥
rna 媃
rnae 鶸
rnai 邚
rnao 鶔
rnau 牣 礽 袽 鴑 鴽
rne 娆
rnei 嫨 襓 媶 婼 嬈
rneo 襦 嬬
rneu 媷
rni 姌
rnia 衻 袡
rno 禳
rnoe 犉
rnoo 媣 嫆 褣 鴧
rnou 嬫
rnu 衽
rnua 袇
rnue 妊 婑 祍
rnui 鵀 姙 袵
ro 让
roi 闰
roo 溶
rp 入
rpa 筎
rpae 篛 月
rpe 箬
rq 狨
rqe 曧
rqeo 曘
rqo 獽
rr 任
rra 仍
rrau 仞 仭 侞
rre 仁
rrei 偌 傇
rreo 儒
rreu 偄
rro 儴
rroo 傛
rru 鳰
rs 饶
rsa 屻
rsae 嵶
rsau 挐 躵
rse 嵘
rsei 饒
rseo 嶿 礝
rseu 碝
rso 峵
rsoo 嵱
rsou 嵤 嶸
rsu 饪
rsua 厹
rsue 甤 飪
rsui 餁
rt 壤
rte 堧
rteo 壖
rto 壌
rtu 壬
ru 然
rui 儒
rv 阮
rva 腬
rvae 鰯
rvao 鰇
rvau 肕 肗
rve 朊
rvei 隢 鄀 鰙
rveo 臑 鱬
rveu 肰 陾 鄏 脜
rvo 忈
rvoo 鰫
rvu 肜
rvuo 魜 腍
rw 瑞
rwa 韧
rwao 瑈 韖
rwau 韌
rwe 瓇
rweo 瓀
rweu 瑌
rwi 珃
rwo 瑢
rx 容
rxa 忍
rxe 惹
rxo 繠
rxu 惢
rxue 忎
rxui 恁
ry 认
rya 讱
ryao 叒
ryau 訒 認
rye 颥
ryee 羢
ryeo 醹 顬
ryi 叡
ryo 譲
ryoe 讓
rz 乳
rza 蹂
rze 孺
rzei 蹃
rzo 躟
rzu 女
s 是
sa 双
saa 纱
saae 骚
sae 屎
sai 隧
sao 桑
sau 姝
sb 首
sba 瘙
sbao 鬖 瘆 痠 瘮
sbe 赎
sbee 賰 鬊
sbei 贳 瘎 瘷 瘶 貰 贖 鬆
sbi 赏
sbia 兽 疝 单 赐 痩 賜
sbie 痁
sbio 髾 贘 賞
sbo 赛
sboe 賥
sboo 勺 痧 髿 賽
sbou 鬙
sbu 瘦
sbua 赡 贍
sbue 貹
sbui 癙
sbuo 赊 鬠 賖 賒
sc 世
sca 苏
scaa 蕬
scae 蝨
scai 萨 蔬 荪 荍 虵 薩 蓀
scao 蔘 荾
scau 虱 苕
sce 寿
scea 厍 萐
scee 蒜 轼 螦 軾
scei 厮 螫 蓍 菘 葚 蔌 藲 轖 蠂 旹 齛 蠴 蒁 尌 蜤 蟖 蟴 蕼 蜙 藗 莏 厙 術 葉
sceu 厦 荗 薞
sci 薯
scia 蜃 莳 虄 軕 徥 蒔 藪
scie 苫 菽
scio 蛸 莦 輎 虲
sciu 蛳
sco 蛇
scoe 蓑 蟀 莘 蠰 蟺 蔏 螪 蔎 葹 藷 蜶
scoo 莎 蓡 薓 蓿
scou 薮 蟮 蒴 蜕
scu 输
scua 芍 芟 蛥 蕂 軗 芕 蕵 蘇
scue 赦 蕱 蘓
scui 螋 葠 蒒 蒐 蓃 葰 雟 螄
scuo 荽 蔱 蕣 輸 蛻
sd 死
sda 色
sdae 涮 汜 泀 肂 潚 潠
sdai 瀡
sdao 渗 溞 泤 涘 滲
sdau 涩 汤 澀
sde 洒
sdea 溼
sdee 濏 溸
sdei 奢 漱 潸 淞 沭 澍 凇 澌 涑 滠 殖 豉 湁 潵 洓 濇 澘 涁 瀭 潄 凘 洍 濍 凁 殐 潥 溹 灑 灄 豎
sdeo 灀
sdeu 泷 漺 瀒
sdi 涉
sdia 湿 汕 泗 濉 召 湦 渑 湜 溡 濖 瀃 澠 濕 湯
sdie 淑 渋 澁 渉
sdio 溑
sdiu 沙 浉
sdo 深
sdoa 沈 沉 沁 歰
sdoe 滳 湤 滖 瀧
sdoo 渖 瀋
sdou 溯 涚 澻
sdu 殊
sdua 洬 奓
sdue 殇 潲 溗 漡 泩 殅 澨 潻 冼 殤
sdui 溲 溮
sduo 涻 涭 涗 浽 飱
sduu 泝
se 事
see 瑟
sei 誓
seie 逝
seii 蔬
seio 啬
seiu 梭
seo 霜
seu 硕
seuo 戍
sf 施
sfa 扫
sfae 扟 掃
sfai 搎
sfao 搔 抒 搡 掺 掻 颾 摻
sfe 摄
sfee 拭 飋
sfei 撒 撕 揲 攃 拺 摲 捒 摗 攝
sfeo 摴
sfeu 摵
sfi 损
sfia 抻 揌 飔 捜 提 捑 撣 颸 擻 損
sfie 摅 掓 攄
sfio 捎
sfo 摔
sfoa 搧
sfoe 擅 揓
sfoo 挱 摍
sfou 擞 搠 掸 搂 掞
sfu 授
sfue 擌 旓 旞
sfui 搜 飕 挻 颼
sfuo 拾 拴 挼 摋 捨 攕
sfuu 折 揗
sg 实
sga 弛
sgaa 實
sge 式
sgea 室
sgee 実
sgei 守 宋 庶 弽 庻 廝
sgeu 髓 戍 髄 廈
sgi 审
sgia 寔
sgio 鞘 弰 鞝
sgo 廀
sgu 宿
sgua 靸 弞 骰
sgue 矤
sgui 冟 廋
sguo 寀 梥 庺 鞖 審
sh 十
sha 私
shaa 丝
shae 戺
shao 扇 穇
she 示
shea 烧
shee 弎 烒
